Description,Product Group
Milwaukee Hole saw bi-metal 68mm,Tools
CLIMBING HELMET X5001V WHITE,Tools
WINTER JACKET 2 IN 1 KL3 GU/S L,PPE
WINTER JACKET 2 IN 1 KL3 GU/S XL,PPE
CRAFT TROUSERS G500 YELLOW/BLACK 54,PPE
LASK WQV 6/10 WEIDMÜLLER,Consumables
Mekano 100-4Q5 EC TPV,Cables
Mekano 50-2T ST-BO-FoS SS,Cables
Mekano 100-2T ST-BO-3 SS,Cables
BO-HX-M10x50 A4,Consumables
SPBE40 CT-300-3000-1.5 SS,Cables
SPB-RF40 FE90-50-R75 SS,Cables
SPB-RF40 FE90-300-R75 SS ,Electrical Components
SPBE40 FE-TI-90-50 SS ,Cables
SP-LF-Glamox SS,Cables
UNO SA-45-D-92-05 SS,Electrical Components
AI-LW-50-3000-5-M10 SS (Oglaend),Cables
LB-SET-LN-AV-M10x20 A4 ,Consumables
OE/LOE FC-M10 PT SS,Cables
Channel Mekano CH50-2T-2-3000 SS,Cables
Mekano CH100-2T-2-3000 SS,Cables
Mekano CH50-2T-2-5900 SS,Cables
Mekano CH100-2T-3-MD-5900 SS,Cables
Mekano 100-2T/4Q SC SS ,Cables
NU-HX-M6 A4 ,Consumables
OE100 FE45-300-R600 SS,Cables
"BFXI Pure 1KV -3G2,5mm² ER",Cables
PARVOTEX TROUSERS CLASS 2 YELLOW/MAR 54,PPE
Defi 30 m Rapid Line,Tools
Defi Calk powders Blue 400g,Consumables
Hawke 389 Drainplug M25 Nick. Pl,Pipes Shrinks Clamps
"Edge Protection Profile Without Seal 20000X6, 5X10, Model: A, Pvc Black L: 20 Meters",Cables
CROSSIGN 160 P MSC ECC WH IP54 - Zumtobel ❌,Consumables
PROTRACTOR GAM 220 MF P (AA BATTERY),Consumables
KNIPEX 16 50 145 SB AFISOLERINGSKNIV,Tools
Dust Trap Sleeve SDS-plus,Consumables
Hawke 501/421 O-M20 Nick. Pl,Cables
PNT210-M Ratchet POPnut,Tools
Raychem MONI-PT100-260/15 -6x ca50mm sensor tip,Electrical Components
Raychem ETS-05-L2-E - Electronic Line Sensing Thermostat 0-199degrC w/Status Light,Electrical Components
DYMO D1 Tape 9mmx7m black on white,Consumables
Insulation type 10X15 white,Consumables
Stretch film blown 450mmx300m,Consumables
Red 5ton Round Sling 3.0meter/6.0meter Circle,Tools
SPB LF-30/40-160 SS ,Cables
Mekano 100-2T GP-L-5 SS,Cables
SPB-RF40 FE-FX-100 SS,Cables
Espagnolett FT,Cables
OE FC-OU-M10/10 PT SS ,Cables
SKRALLE VINKLET,Tools
"PIPE 1/4"" AMPRO",Pipes Shrinks Clamps
RATCHET WRENCH COMBI ADJUSTABLE AMPRO,Tools
RATCHET WRENCH ADJUSTABLE 15 MM,Tools
DIGITAL VATER GIM 60,Tools
Angle Adaptor Exe TEF663 M20/F.1/2″ NPT AISI316,Cables
Flexible hose AISI 316 for mechanical protection,Cables
Heat-Shrink Tube 35MM Gray ✓,Pipes Shrinks Clamps
Heat-Shrink Tube  6 mm Brown Arvi ✓,Pipes Shrinks Clamps
WS ALERT X-HEADSET HELMET BELL,PPE
SAFETY KNIFE (ST),Tools
KNEBESKYTTER 4027 1203 ones,PPE
TROUSERS BUKSE 1579 1514 GUL/MARIN C44,Tools
TROUSERS BUKSE 1579 1514 GUL/MARIN C56,Tools
TROUSERS BUKSE 1579 1514 GUL/MARIN C60,Tools
TROUSERS BUKSE 1579 1514 GUL/MARIN C62,Tools
TAPE BROTHER TZE-221 9MM BLACK,Consumables
BUKSE MULTI 1489 1512 GUL C50 (C50),Tools
JAKKE MULTINORM INHERENT 4089 1512 GUL/MARINE,PPE
T-SHIRT LS 3483 1737 SORT M ✓,PPE
T-SHIRT LS 3483 1737 SORT S  ✓,PPE
T-SHIRT LS 3483 1737 SORT XL  ✓,PPE
T-SHIRT LS 3483 1737 SORT 4XL  ✓,PPE
GENSER MULTI 3087 1762 GUL 3XL,PPE
WA-Ø30x2.5-M10 A4,Consumables
Kat6 U/UTP 4p HF Blue,Cables
SPB-RF40 FE90-100-R75 PT SS,Cables
SPB-RF40 FE90-300-R75 PT SS ,Electrical Components
POLO GEILO 2.0 WITH WOOL GREY M.,PPE
GEILO 2.0 LONGS MERINOULL HERRE GRÅ,PPE
POLO SHIRT GEILO 2.0 WOMEN'S MERINO WOOL GREY MELANGE,PPE
GEILO 2.0 LONGS MERINO WOOL WOMEN'S GREY,PPE
"Irimo holesaw set bimetal, 6p 22-64",Tools
OE100 IF-TW-40-490 SS,Cables
Mekano 100-2T ST-BO-FoS SS,Cables
Collegegenser zip Tranemo 508889 Multinorm,PPE
BIS Strut Slide Nut BUP M8,Cables
WA-RQ-29x77x2-2xM10 SS,Cables
Mekano 100 BB SS,Cables
"3M 363 Conductive Metallic Tape, 50mm x 33m",Consumables
Mekano CH100-2T-3-3000 SS,Cables
Umbracoskrue m/syl.Hode D912/I4762 M6x 40 A4-80 (BOLTEN),Consumables
Connection kit - Wall Mounted - for all Raychem Cables - 5x11/5x15 - w/Termination kit C25-21 - HOT,Pipes Shrinks Clamps
Sekskantmutter DIN  934 M6 A4-80,Consumables
A25-S400 2500 WR-G4 E1/WR CPW2-SEN 830,Lighting
C95-S240x1500 WH 6300 WR-G4 830 CPW2-SEN MP,Lighting
C95-S240x1500 WH 6300 WR-D E3/WR-ST 830  CPW-SEN MP,Lighting
8 ZN washer DIN 9021,Consumables
Milwaukee Tape Measure Mag 8m 27mm,Tools
"Metal drillbit SW HSS-G TIN 12,0MM",Tools
I40-1500 LED 8500 WR-D 840 CPW-SEN TW PC  IP54,Lighting
30M Heat shrink Black ,Pipes Shrinks Clamps
"CHANNELNUT WITHOUT A SPRING 6  MM, PRE GAL (ERIC LARSEN)",Consumables
ARIS/ORTUS safety sign 125x250 mm DOOR +,Lighting
"3.0 METER LASER TRIPOD TRP300 (5/8"" Thread | Milwaukee)",Tools
POS 59 5214022 DRIVING WHEEL (VERKTØY),Tools
POS 74 7214210 FREE WHEEL GROUP (VERKTØY),Tools
HOT AIR BURNER 8708 (TOOLS),Tools
GROUNDING BOLT X-BT-ER M10/7 SN8 A4,Consumables
BATTERY ADAPTER DeWalt/Milwaukee 12V/20V for Makita 18V (DeWalt/Milwaukee? Makita),
"KLAUKE HYDRAULIC CABLE TRAY CUTTER 6MM (with battery,  charger, and case)",
EK SD 50ML KLAUKE ELECTRIC MECHANICAL STRIPPING TOOL  6-35MM² (10.8V Li-ION BATTERY,Tools
BF 30 SUPER BERNARDO DRILL/MILLING MACHINE (with Variodrift),
"TEXT PRINTER BROTHER PT-H110 BLACK (Label printer 3.5 ,  6.9 and 12 MM)",Tools
HILTI CHISEL HAMMER TE 3000-AVR (230V) ,
BATTERY B 22-55 Li-ION (22V Li-ION battery NURON 2.6Ah) ,Tools
THREADED BOLT HOLDER S-SH BT M10/W10 (TOOL),Tools
BENCH DRILL HM SBM 20VB 230V/50Hz (MK 2 - 750W -  30-3000 RPM),Tools
MEISEL SDS-MAX DRIVER 16.5x260MM (2 608 690 005),Tools
REMS CURVO PIPE BENDING MACHINE 580027 R220 (Incl. trays  15-18-22-28 MM,Tools
GENSER MULTI 3087 1762 GUL L,PPE
"3G2,5 mm2 TOXFREE  N2XH - Flex 0,6/1 KV Black",Cables
BAND SAW BLADE 2140X19X0.9 6/10,Tools
0,Tools
0,Consumables
0,Consumables
M6X25 Mushroom head ZINC,Consumables
M6X25 Mushroom head HDG,Consumables
M6 CHANNEL NUT NO SPRING HDG,Consumables
M12X50MM ZINC WASHER,Consumables
M16X50mm Washers,Consumables
Unistrut channel nut without spring M8 ZINC,
0,
"Circular Saw Blade M165x15,87x48T",Tools
FALLSTOPPLINE CRESTO 1215 15M,PPE
